iter	Passed	Remaining
0	0	35
1	0	33
2	1	32
3	1	29
4	1	29
5	1	29
6	2	29
7	2	28
8	2	28
9	3	28
10	3	28
11	3	28
12	4	27
13	4	27
14	4	27
15	5	26
16	5	26
17	5	26
18	6	25
19	6	25
20	6	25
21	6	24
22	7	24
23	7	24
24	7	23
25	8	23
26	8	23
27	8	23
28	9	23
29	9	22
30	10	22
31	10	22
32	10	22
33	11	21
34	11	21
35	11	21
36	12	20
37	12	20
38	12	20
39	13	19
40	13	19
41	13	19
42	14	18
43	14	18
44	14	18
45	15	17
46	15	17
47	15	17
48	16	16
49	16	16
50	16	16
51	17	15
52	17	15
53	17	15
54	18	14
55	18	14
56	18	14
57	18	13
58	19	13
59	19	13
60	19	12
61	20	12
62	20	12
63	20	11
64	21	11
65	21	11
66	22	10
67	22	10
68	22	10
69	23	9
70	23	9
71	23	9
72	24	8
73	24	8
74	24	8
75	25	7
76	25	7
77	25	7
78	26	6
79	26	6
80	26	6
81	27	6
82	27	5
83	27	5
84	28	4
85	28	4
86	28	4
87	29	3
88	29	3
89	29	3
90	30	2
91	30	2
92	31	2
93	31	2
94	31	1
95	31	1
96	32	0
97	32	0
98	33	0
99	33	0
