iter	Passed	Remaining
0	56	56157
1	56	28237
2	56	18915
3	57	14254
4	57	11455
5	57	9590
6	58	8261
7	58	7270
8	58	6494
9	59	5872
10	59	5362
11	60	4944
12	60	4583
13	60	4276
14	61	4008
15	61	3783
16	61	3577
17	62	3392
18	62	3228
19	62	3079
20	63	2943
21	63	2820
22	63	2708
23	64	2605
24	64	2511
25	64	2424
26	65	2343
27	65	2268
28	65	2198
29	65	2133
30	66	2072
31	66	2014
32	66	1961
33	67	1910
34	67	1863
35	67	1820
36	68	1777
37	68	1738
38	68	1700
39	69	1664
40	69	1629
41	69	1596
42	70	1565
43	70	1535
44	70	1506
45	71	1478
46	71	1452
47	72	1428
48	72	1404
49	72	1381
50	73	1359
51	73	1337
52	73	1318
53	74	1298
54	74	1279
55	74	1261
56	75	1243
57	75	1226
58	75	1210
59	76	1194
60	76	1178
61	76	1162
62	77	1148
63	77	1133
64	77	1119
65	78	1106
66	78	1093
67	78	1080
68	79	1068
69	79	1056
70	79	1044
71	80	1032
72	80	1021
73	80	1010
74	81	999
75	81	989
76	81	979
77	82	969
78	82	959
79	82	950
80	83	941
81	83	933
82	83	922
83	83	914
84	84	905
85	84	897
86	84	889
87	85	882
88	85	874
89	85	867
90	86	860
91	86	853
92	86	846
93	87	839
94	87	832
95	87	825
96	88	819
97	88	813
98	88	806
99	88	800
100	89	794
101	89	788
102	89	783
103	90	777
104	90	772
105	90	767
106	91	761
107	91	756
108	91	751
109	92	746
110	92	741
111	92	736
112	93	731
113	93	726
114	93	722
115	94	717
116	94	712
117	94	707
118	95	703
119	95	699
120	95	694
121	95	690
122	96	685
123	96	681
124	96	677
125	97	674
126	97	669
127	97	665
128	98	662
129	98	658
130	98	654
131	99	651
132	99	647
133	99	644
134	99	640
135	100	637
136	100	633
137	100	630
138	101	626
139	101	623
140	101	620
141	102	616
142	102	613
143	102	610
144	102	606
145	103	604
146	103	601
147	103	598
148	104	595
149	104	592
150	105	590
151	105	588
152	105	585
153	106	582
154	106	579
155	106	576
156	106	574
157	107	571
158	107	569
159	107	566
160	108	563
161	108	560
162	108	558
163	109	555
164	109	553
165	109	551
166	109	548
167	110	546
168	110	544
169	110	541
170	111	539
171	111	537
172	111	535
173	112	533
174	112	530
175	112	528
176	113	526
177	113	524
178	113	522
179	114	520
180	114	518
181	114	516
182	115	514
183	115	512
184	115	510
185	116	508
186	116	506
187	116	504
188	117	502
189	117	500
190	117	498
191	118	496
192	118	494
193	118	493
194	119	491
195	119	489
196	119	487
197	119	485
198	120	484
199	120	482
200	121	481
201	121	479
202	121	477
203	122	476
204	122	474
205	122	472
206	123	471
207	123	469
208	123	467
209	123	466
210	124	464
211	124	463
212	124	461
213	125	460
214	125	458
215	125	456
216	126	455
217	126	453
218	126	452
219	127	450
220	127	449
221	127	447
222	128	446
223	128	444
224	128	443
225	129	442
226	129	440
227	129	439
228	130	437
229	130	436
230	130	434
231	130	433
232	131	432
233	131	430
234	131	429
235	132	427
236	132	426
237	132	425
238	133	423
239	133	422
240	133	421
241	134	420
242	134	418
243	134	417
244	135	416
245	135	415
246	135	413
247	136	412
248	136	411
249	136	410
250	137	409
251	137	407
252	137	406
253	138	405
254	138	404
255	138	402
256	138	401
257	139	400
258	139	399
259	139	398
260	140	396
261	140	395
262	140	394
263	141	393
264	141	392
265	141	391
266	142	390
267	142	389
268	142	388
269	143	386
270	143	385
271	143	384
272	144	383
273	144	382
274	144	381
275	145	380
276	145	379
277	145	378
278	146	377
279	146	376
280	146	375
281	147	374
282	147	373
283	147	372
284	147	371
285	148	370
286	148	369
287	148	368
288	149	367
289	149	366
290	149	365
291	150	364
292	150	363
293	150	362
294	151	361
295	151	360
296	151	359
297	152	358
298	152	357
299	152	356
300	153	355
301	153	354
302	153	353
303	154	353
304	154	352
305	154	351
306	155	350
307	155	349
308	155	348
309	156	347
310	156	346
311	156	345
312	157	344
313	157	343
314	157	343
315	158	342
316	158	341
317	158	340
318	159	339
319	159	338
320	159	337
321	160	337
322	160	336
323	160	335
324	161	334
325	161	333
326	161	332
327	162	332
328	162	331
329	162	330
330	163	329
331	163	328
332	163	327
333	163	326
334	164	326
335	164	325
336	164	324
337	165	323
338	165	322
339	165	321
340	166	321
341	166	320
342	166	319
343	167	318
344	167	317
345	167	317
346	168	316
347	168	315
348	168	314
349	169	313
350	169	313
351	170	313
352	170	312
353	170	311
354	171	310
355	171	309
356	171	309
357	171	308
358	172	307
359	172	306
360	172	306
361	173	305
362	173	304
363	173	303
364	174	303
365	174	302
366	174	301
367	175	300
368	175	300
369	175	299
370	176	298
371	176	297
372	176	297
373	177	296
374	177	295
375	177	295
376	178	294
377	178	293
378	178	292
379	178	292
380	179	291
381	179	290
382	179	289
383	180	289
384	180	288
385	180	287
386	181	286
387	181	286
388	181	285
389	182	284
390	182	284
391	182	283
392	183	282
393	183	282
394	183	281
395	184	280
396	184	280
397	184	279
398	185	278
399	185	278
400	185	277
401	186	276
402	186	276
403	186	275
404	186	274
405	187	274
406	187	273
407	187	272
408	188	272
409	188	271
410	188	270
411	189	270
412	189	269
413	189	268
414	190	268
415	190	267
416	190	266
417	191	266
418	191	265
419	191	264
420	192	264
421	192	263
422	192	262
423	193	262
424	193	261
425	193	260
426	194	260
427	194	259
428	194	259
429	194	258
430	195	257
431	195	257
432	196	256
433	196	256
434	196	255
435	197	255
436	197	254
437	197	253
438	198	253
439	198	252
440	198	252
441	199	251
442	199	250
443	199	250
444	200	249
445	200	249
446	200	248
447	201	247
448	201	247
449	201	246
450	202	246
451	202	245
452	202	244
453	203	244
454	203	243
455	203	243
456	204	242
457	204	241
458	204	241
459	205	240
460	205	240
461	205	239
462	206	239
463	206	238
464	206	237
465	207	237
466	207	236
467	207	236
468	208	235
469	208	235
470	208	234
471	209	233
472	209	233
473	209	232
474	210	232
475	210	231
476	210	231
477	211	230
478	211	229
479	211	229
480	212	228
481	212	228
482	212	227
483	213	227
484	213	226
485	213	226
486	214	225
487	214	224
488	214	224
489	215	223
490	215	223
491	215	222
492	216	222
493	216	221
494	216	221
495	216	220
496	217	219
497	217	219
498	217	218
499	218	218
500	218	217
501	218	217
502	219	216
503	219	216
504	219	215
505	220	215
506	220	214
507	220	213
508	221	213
509	221	212
510	221	212
511	222	211
512	222	211
513	222	210
514	223	210
515	223	209
516	223	209
517	224	208
518	224	208
519	224	207
520	225	206
521	225	206
522	225	205
523	226	205
524	226	204
525	226	204
526	227	203
527	227	203
528	227	202
529	228	202
530	228	201
531	228	201
532	229	200
533	229	200
534	229	199
535	229	199
536	230	198
537	230	198
538	230	197
539	231	197
540	231	196
541	231	195
542	232	195
543	232	194
544	232	194
545	233	193
546	233	193
547	233	192
548	234	192
549	234	191
550	234	191
551	235	190
552	235	190
553	235	189
554	236	189
555	236	188
556	236	188
557	237	187
558	237	187
559	237	186
560	238	186
561	238	185
562	238	185
563	239	184
564	239	184
565	239	183
566	240	183
567	240	182
568	240	182
569	241	181
570	241	181
571	241	180
572	242	180
573	242	179
574	242	179
575	243	179
576	243	178
577	243	178
578	244	177
579	244	177
580	245	176
581	245	176
582	245	175
583	245	175
584	246	174
585	246	174
586	246	173
587	247	173
588	247	172
589	247	172
590	248	171
591	248	171
592	248	170
593	249	170
594	249	169
595	249	169
